family,method,seed,qbe_high_bands,qbe_total,spectral_jsd,hks_distance,final_loss,train_time_s,qbe_band_0,qbe_band_1,qbe_band_2,qbe_band_3,qbe_band_4,qbe_band_5,qbe_band_6,qbe_band_7
BA(m=5),spectral,0,0.10309081225587349,0.49064311480733663,0.0,0.0,1.429122927132994,80.50481915473938,0.4389345918082459,0.0,0.03273822984439477,0.05930957262914657,0.09442581713301187,0.10668402000108577,0.12643482984971297,0.08481858203968339
BA(m=5),uniform,1,0.17156596363980578,1.0501538324240902,0.0,0.0,9.630356133449823,65.40405797958374,0.969885023276191,0.0,0.10448217020867638,0.17913899850829174,0.18335558406037686,0.1776116785114664,0.18572093966962813,0.1395756523177517
BA(m=5),spectral,1,0.17144942829197513,1.0488997024585678,0.0,0.0,9.757419681875035,80.69683361053467,0.9687070115464207,0.0,0.10400775531465839,0.17890154306386186,0.18318710425181609,0.1774815974111369,0.1856108360176506,0.13951817548729695
BA(m=5),uniform,2,0.12115808770073219,0.47299950017449693,0.0,0.0,19.810398847796023,64.8719494342804,0.388644080659147,0.0,0.11124777757491765,0.015259507431136132,0.11000570053592121,0.1456635315824078,0.1309771907213069,0.09798592796329283
BA(m=5),spectral,2,0.07209881500267501,0.273110943297615,0.0,0.0,18.94805979449302,79.8896267414093,0.2188495942592611,0.0,0.0741488146914477,0.004603148940008767,0.06135846723136121,0.08565752863741445,0.07697790938878973,0.06440135475313463
BA(m=5),uniform,3,0.07983278360201672,0.3390714323760527,0.0,0.0,1.7224273646716028,65.35264539718628,0.2815837655442627,0.0,0.08615204544082809,0.04840467657702385,0.07140963838903616,0.08766922423294299,0.09215125436516301,0.06810101742092473
BA(m=5),spectral,3,0.14914689212271967,0.8353350243852627,0.0,0.0,1.738457954954356,79.12722897529602,0.7640949374030414,0.0,0.015536859879614395,0.15197050903254813,0.15912852359163743,0.16405743855901994,0.15901840415601126,0.11438320218421007
BA(m=5),uniform,4,0.16974414609035682,0.9971077115156272,0.0,0.0,2.552527504041791,65.58089113235474,0.920184534041509,0.0,0.0909198173399011,0.15028813234018049,0.17779913122392146,0.1806299779302014,0.18281496478171919,0.13773251042558526
BA(m=5),spectral,4,0.09581140847964001,0.39864998277722047,0.0,0.0,2.6708578756079078,79.52290534973145,0.34130228432387394,0.0,0.06492824871847643,0.022984899123790203,0.08040500744368792,0.09245137571465438,0.12172544361348661,0.0886638071467312
Cora,uniform,0,0.07868946044200636,0.26537468045867907,0.0,0.0,0.6458474745159037,67.78614163398743,0.18788450928810985,0.05698860315198561,0.0474775630056313,0.02240716632229886,0.039140477438556615,0.09197728920070772,0.12547708673592517,0.058162988392835936
